Gene Name,Solyc ID,Solyc_clean,Function/Family,Description,Notes,Original_Solyc_ID,Signature_Class,Confidence,Source_Table,Marker_Aliases,Marker_Category,Priority,Evidence_for_marker_use,Reference_source,ID_Status,Merge_Status,Additional_Notes,Original_Gene_Symbol,Ambiguity_Group,Ambiguity_Version,Panel_Tags
CKX3,Solyc12g008900,Solyc12g008900,cytokinin_oxidase_dehydrogenase,Basal_cell_expansion/cytokinin_module,Upregulated in cr-slbrc2a trichomes; part of cytokinin degradation module linked to basal-cell expansion.,Solyc12g008900,Candidate_marker_uncategorized,medium,updated_all_marker_table,,cytokinin_oxidase_dehydrogenase,Medium,Upregulated in cr-slbrc2a trichomes; part of cytokinin degradation module linked to basal-cell expansion.,Wu et al. 2024,confirmed,new_updated_all_table,Upregulated in cr-slbrc2a trichomes; part of cytokinin degradation module linked to basal-cell expansion.,CKX3,,,wo_brc2a_morphogenesis_panel
CLV3,Solyc11g071380,Solyc11g071380,CLE Peptide,Stem cell maintenance and patterning,,,,,curated_base,,,,,,,base_row,,,,,
CNR/SlSBP-CNR,Solyc02g077920,Solyc02g077920,SBP/SPL_transcription_factor,miR156_SPL_developmental_timing_context,Tomato SBP gene and confirmed miR156/157 target; belongs to the SPL3/4/5-like functional context but is better known for fruit ripening/development than trichome specificity; include as secondary SPL-module marker,Solyc02g077920,General_trichome_development,medium,updated_all_marker_table,,SBP/SPL_transcription_factor,Medium,Tomato SBP gene and confirmed miR156/157 target; belongs to the SPL3/4/5-like functional context but is better known for fruit ripening/development than trichome specificity; include as secondary SPL-module marker,Poethig and Fouracre 2024; Silva et al. 2014; Karlova et al. 2013,confirmed,new_updated_all_table,Tomato SBP gene and confirmed miR156/157 target; belongs to the SPL3/4/5-like functional context but is better known for fruit ripening/development than trichome specificity; include as secondary SPL-module marker,CNR/SlSBP-CNR,,,phase_change_ap2_spl_panel
DT1,Solyc09g014980,Solyc09g014980,SCAR/WAVE_complex_related,Broad_trichome_development,Differentially expressed in glandless isolated stem trichomes; possible cytoskeletal/developmental context marker,Solyc09g014980,General_trichome_development,low,updated_all_marker_table,,SCAR/WAVE_complex_related,Low,Differentially expressed in glandless isolated stem trichomes; possible cytoskeletal/developmental context marker,Zocca et al. 2025,confirmed,new_updated_all_table,Differentially expressed in glandless isolated stem trichomes; possible cytoskeletal/developmental context marker,DT1,,,
DWARF,Solyc02g089160,Solyc02g089160,brassinosteroid_related,Broad_trichome_development,Listed as characterized trichome development gene; useful hormonal/developmental control marker,Solyc02g089160,General_trichome_development,low,updated_all_marker_table,,brassinosteroid_related,Low,Listed as characterized trichome development gene; useful hormonal/developmental control marker,Galdon-Armero 2018,confirmed,new_updated_all_table,Listed as characterized trichome development gene; useful hormonal/developmental control marker,DWARF,,,
ELIP1,Solyc09g082690,Solyc09g082690,light/photosynthetic_GT_marker,Type VI,"Candidate type VI-associated promoter/GT marker in Brand-Duran; useful as photosynthetic glandular-trichome context marker, not cleanly type-specific alone",Solyc09g082690,Type_VI_like_metabolic,medium_low,updated_all_marker_table,,light/photosynthetic_GT_marker,Medium_low,"Candidate type VI-associated promoter/GT marker in Brand-Duran; useful as photosynthetic glandular-trichome context marker, not cleanly type-specific alone",Brand-Duran 2024,confirmed,new_updated_all_table,"Candidate type VI-associated promoter/GT marker in Brand-Duran; useful as photosynthetic glandular-trichome context marker, not cleanly type-specific alone",ELIP1,,,
GCR1,Solyc12g009020,Solyc12g009020,Transcription Factor,Glandless-Related 1, repressor of gland formation,,General_gland_regulator,medium,curated_base,,,,,,,base_row,,,,,gland_fate_switch_panel
GCR2 version A,Solyc03g006150,Solyc03g006150,MYB-like transcription factor,Gland cell repressor / gland fate switch component,Redundant with GCR1 as a gland-cell repressor; gcr1/gcr2 double mutants strongly promote gland formation and supernumerary glands. || One GCR2 row; verify duplicate GCR2 IDs when interpreting. || Second GCR2 row; kept because table already carries duplicate GCR2 IDs; verify exact paralog before strong claims.,Solyc03g006150,GCR_TOE_LFS_gland_fate_switch,medium,literature_expansion,GCR2; SlGCR2 candidate A; Solyc03g006150,gland_fate_switch_panel,Medium,Redundant with GCR1 as a gland-cell repressor; gcr1/gcr2 double mutants strongly promote gland formation and supernumerary glands. || One GCR2 row; verify duplicate GCR2 IDs when interpreting. || Second GCR2 row; kept because table already carries duplicate GCR2 IDs; verify exact paralog before strong claims.,Chang et al. 2024 || Chang 2024 Nature; Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,Redundant with GCR1 as a gland-cell repressor; gcr1/gcr2 double mutants strongly promote gland formation and supernumerary glands. || GCR2 duplicate/paralog row split into version A; verify exact nomenclature before strong claims.,,GCR2,A,gland_fate_switch_panel
GCR2 version B,Solyc12g009030,Solyc12g009030,MYB-like transcription factor,Gland cell repressor / gland fate switch component,repressor of gland formation || One GCR2 row; verify duplicate GCR2 IDs when interpreting. || Second GCR2 row; kept because table already carries duplicate GCR2 IDs; verify exact paralog before strong claims.,,GCR_TOE_LFS_gland_fate_switch,medium,literature_expansion,GCR2; SlGCR2 candidate B; Solyc12g009030,gland_fate_switch_panel,Medium,One GCR2 row; verify duplicate GCR2 IDs when interpreting. || Second GCR2 row; kept because table already carries duplicate GCR2 IDs; verify exact paralog before strong claims.,Chang 2024 Nature; Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded, || GCR2 duplicate/paralog row split into version B; verify exact nomenclature before strong claims.,,GCR2,B,gland_fate_switch_panel
HAIR,Solyc10g078970,Solyc10g078970,C2H2_ZFP,Broad_trichome_development,Characterized tomato trichome development gene; useful broad developmental control,Solyc10g078970,General_trichome_development,medium_low,updated_all_marker_table,,C2H2_ZFP,Medium_low,Characterized tomato trichome development gene; useful broad developmental control,Galdon-Armero 2018,confirmed,new_updated_all_table,"Characterized tomato trichome development gene; useful broad developmental control || Shared Solyc ID with other table rows: HAIR, Hair / H. Treat aliases/conflicts cautiously.",HAIR,,,
HAP, Solyc09g091370,Solyc09g091370, ASH1-Homolog / Histone Methyltransferase,, Negative regulator of trichome density; epigenetic switch.,,,,curated_base,,,,,,,base_row,,,,,
Hair / H,Solyc10g078970,Solyc10g078970,C2H2 Zinc Finger Protein,Required for elongation of multicellular trichomes,,,General_gland_regulator,medium,curated_base + marker_signature_table,HAIR,C2H2_ZFP,Medium_low,Characterized tomato trichome development gene; useful broad developmental control,Galdon-Armero 2018,confirmed,overlap_merged,"signature: Broad_trichome_development || marker_category: C2H2_ZFP || priority: Medium_low || evidence: Characterized tomato trichome development gene; useful broad developmental control || reference: Galdon-Armero 2018 || id_status: confirmed || Shared Solyc ID with other table rows: HAIR, Hair / H. Treat aliases/conflicts cautiously.",,,,
Hairless,Solyc11g013280; Solyc11g013290,Solyc11g013280,actin/WAVE_complex_related,Broad_trichome_morphogenesis,Characterized tomato trichome morphology gene pair; useful broad structural/morphogenesis control marker,,General_gland_regulator,low,marker_signature_table,,actin/WAVE_complex_related,Low,Characterized tomato trichome morphology gene pair; useful broad structural/morphogenesis control marker,Galdon-Armero 2018,confirmed,new_from_marker_table,"reference: Galdon-Armero 2018 || id_status: confirmed || Shared Solyc ID with other table rows: Hairless, Hairless version A. Treat aliases/conflicts cautiously.",Hairless,,,
Hairless version A,Solyc11g013280,Solyc11g013280,actin/WAVE_complex_related,Broad_trichome_morphogenesis,Ambiguous/multiple ID row split into version A; original ID field: Solyc11g013280; Solyc11g013290 || ID-source chunk: Solyc11g013280 || Characterized tomato trichome morphology gene pair; useful broad structural/morphogenesis control marker,Solyc11g013280; Solyc11g013290,General_trichome_development,low,updated_all_marker_table,,actin/WAVE_complex_related,Low,Characterized tomato trichome morphology gene pair; useful broad structural/morphogenesis control marker,Galdon-Armero 2018,confirmed,new_updated_all_table,"Ambiguous/multiple ID row split into version A; original ID field: Solyc11g013280; Solyc11g013290 || ID-source chunk: Solyc11g013280 || Shared Solyc ID with other table rows: Hairless, Hairless version A. Treat aliases/conflicts cautiously.",Hairless,Hairless,A,
Hairless version B,Solyc11g013290,Solyc11g013290,actin/WAVE_complex_related,Broad_trichome_morphogenesis,Ambiguous/multiple ID row split into version B; original ID field: Solyc11g013280; Solyc11g013290 || ID-source chunk: Solyc11g013290 || Characterized tomato trichome morphology gene pair; useful broad structural/morphogenesis control marker,Solyc11g013280; Solyc11g013290,General_trichome_development,low,updated_all_marker_table,,actin/WAVE_complex_related,Low,Characterized tomato trichome morphology gene pair; useful broad structural/morphogenesis control marker,Galdon-Armero 2018,confirmed,new_updated_all_table,Ambiguous/multiple ID row split into version B; original ID field: Solyc11g013280; Solyc11g013290 || ID-source chunk: Solyc11g013290,Hairless,Hairless,B,
JAI1 / COI1,Solyc05g052620,Solyc05g052620,F-box protein,Jasmonate receptor, key for insect defense,,,,curated_base,,,,,,,base_row,,,,,
LFS,Solyc02g090680,Solyc02g090680,Basic Helix-Loop-Helix (bHLH),Glandless/Leafless mutant, essential for Type VI glands,,General_gland_regulator,medium,curated_base,,LFS_specialized_metabolism_panel,,LFS links AP2/ERF developmental function with acylsugar/flavonoid specialized metabolism; interpret as developmental-metabolic bridge.,Mandal 2025 New Phytologist; Chang 2024; Tian 2020 atlas context,,base_row,Keep separate from pure type marker interpretation; LFS can regulate acylsugar output independently from trichome density.,,,,gland_fate_switch_panel
Lanata,Solyc04g005320,Solyc04g005320,HD-Zip IV Transcription Factor,Mutant shows high density of long hairs,,,General_gland_regulator,medium,curated_base,,,,,,,base_row,,,,,
MCPI,Solyc01g067295,Solyc01g067295,promoter/metabolic_marker,Type VI,Promoter drives GFP specifically in type VI glandular trichomes; signal restricted to four glandular head cells and absent from type I trichomes,Solyc01g067295,Type_VI_like_metabolic,high,updated_all_marker_table,,promoter/metabolic_marker,High,Promoter drives GFP specifically in type VI glandular trichomes; signal restricted to four glandular head cells and absent from type I trichomes,Ying et al. 2022; Brand-Duran 2024,confirmed,new_updated_all_table,Promoter drives GFP specifically in type VI glandular trichomes; signal restricted to four glandular head cells and absent from type I trichomes,MCPI,,,
MTR1,Solyc10g083140,Solyc10g083140,MTR / EAR-RING-like multicellular trichome repressor,Multicellular trichome repressor 1; formerly referred to as SlCycB2 in older nomenclature; Wo downstream/dosage control module,Confirmed MTR1 locus from Wo/MTR literature; MTR1/MTR2/MTR3 are homologous regulators of Wo-dependent multicellular trichome development.,,wo_morphogenesis_context,high,curated_base,MTR1; SlCycB2; SlMTR1,wo_brc2a_morphogenesis_panel,High,MTR1/MTR2/MTR3 homologs regulate Wo-dependent multicellular trichome development.,Wu et al. Developmental Cell Wo/MTR literature,confirmed_from_literature,base_row,,,,,wo_brc2a_morphogenesis_panel; atlas_epidermis_context_panel
MTR1 / SlCycB2 (review alias),Solyc10g083140,Solyc10g083140,MTR / EAR-RING-like multicellular trichome repressor,Multicellular trichome repressor 1; formerly referred to as SlCycB2 in older nomenclature; Wo downstream/dosage control module,Confirmed MTR1 locus from Wo/MTR literature; MTR1/MTR2/MTR3 are homologous regulators of Wo-dependent multicellular trichome development.,,wo_morphogenesis_context,high,curated_base + marker_signature_table,MTR1; SlCycB2; SlMTR1,wo_brc2a_morphogenesis_panel,High,MTR1/MTR2/MTR3 homologs regulate Wo-dependent multicellular trichome development.,Wu et al. Developmental Cell Wo/MTR literature,confirmed_from_literature,overlap_merged,"signature: Broad_trichome_development || marker_category: cyclin/regulator || priority: Medium || evidence: Negative regulator/fine-tuner of SlWO; characterized trichome development gene; altered in glandless || reference: Zocca et al. 2025; Galdon-Armero 2018 || id_status: confirmed || Shared Solyc ID with other table rows: MTR1 / SlCycB2 (review alias), MTR1/SlCycB2. Treat aliases/conflicts cautiously.",,,,wo_brc2a_morphogenesis_panel; atlas_epidermis_context_panel
MTR1/SlCycB2,Solyc10g083140,Solyc10g083140,MTR / EAR-RING-like multicellular trichome repressor,Multicellular trichome repressor 1; formerly referred to as SlCycB2 in older nomenclature; Wo downstream/dosage control module,Confirmed MTR1 locus from Wo/MTR literature; MTR1/MTR2/MTR3 are homologous regulators of Wo-dependent multicellular trichome development.,Solyc10g083140,wo_morphogenesis_context,high,updated_all_marker_table,MTR1; SlCycB2; SlMTR1,wo_brc2a_morphogenesis_panel,High,MTR1/MTR2/MTR3 homologs regulate Wo-dependent multicellular trichome development.,Wu et al. Developmental Cell Wo/MTR literature,confirmed_from_literature,new_updated_all_table,"Negative regulator/fine-tuner of Wo protein level; mtr1 mtr2 mutants show elevated Wo and increased long digitate trichomes; useful Wo-dose control marker. || Shared Solyc ID with other table rows: MTR1 / SlCycB2 (review alias), MTR1/SlCycB2. Treat aliases/conflicts cautiously.",MTR1/SlCycB2,,,wo_brc2a_morphogenesis_panel; atlas_epidermis_context_panel
MTR2/SlCycB3,Solyc06g073990,Solyc06g073990,MTR / EAR-RING-like multicellular trichome repressor,Multicellular trichome repressor 2; homologous to MTR1; previously associated with SlCycB3 nomenclature; Wo downstream/dosage control module,MTR2 is homologous to MTR1; interpret as Wo-dose/morphogenesis regulator rather than canonical cyclin marker.,Solyc06g073990,wo_morphogenesis_context,high,literature_expansion,MTR2; SlCycB3; SlMTR2,wo_brc2a_morphogenesis_panel,High,MTR family regulator of Wo-dependent multicellular trichome development.,Wu et al. Developmental Cell Wo/MTR literature,confirmed_from_literature,literature_expanded,"Works with MTR1 to control Wo dosage; double mutants increase Wo levels and long trichome development. || Shared Solyc ID with other table rows: MTR2/SlCycB3, SlMTR2/SlCycB3. Treat aliases/conflicts cautiously.",,,,wo_brc2a_morphogenesis_panel; atlas_epidermis_context_panel
MX1 / SlMIXTA-like,Solyc01g006300,Solyc01g006300,MYB Transcription Factor,Promotes non-glandular trichome formation,,,,,curated_base,,,,,,,base_row,,,,,
MYB13,Solyc06g083900,Solyc06g083900,MYB_TF,Heat/JA-induced_type_IV_candidate,Candidate regulator induced by heat and jasmonate; linked to heat-stress type IV initiation in Brand-Duran; useful inducible type IV marker candidate,Solyc06g083900,Candidate_marker_uncategorized,medium_high,updated_all_marker_table,,MYB_TF,Medium_high,Candidate regulator induced by heat and jasmonate; linked to heat-stress type IV initiation in Brand-Duran; useful inducible type IV marker candidate,Brand-Duran 2024,confirmed,new_updated_all_table,Candidate regulator induced by heat and jasmonate; linked to heat-stress type IV initiation in Brand-Duran; useful inducible type IV marker candidate,MYB13,,,
NDPS1,Solyc08g005673,Solyc08g005673,terpene_precursor_pathway,Type VI,Neryl diphosphate synthase marker from terpene pathway primer set; useful with TPS20/TPS5 for type VI plastidial monoterpene branch,Solyc08g005673,Type_VI_like_metabolic,medium,updated_all_marker_table,,terpene_precursor_pathway,Medium,Neryl diphosphate synthase marker from terpene pathway primer set; useful with TPS20/TPS5 for type VI plastidial monoterpene branch,Brand-Duran 2024,confirmed,new_updated_all_table,Neryl diphosphate synthase marker from terpene pathway primer set; useful with TPS20/TPS5 for type VI plastidial monoterpene branch,NDPS1,,,
NDPS1,Solyc08g005680,Solyc08g005680,Neryl Diphosphate Synthase 1,Precursor for terpene biosynthesis,,,Type_VI_like_core,high,curated_base,,,,,,,base_row,,,,,
PEPCK,Solyc04g076880,Solyc04g076880,central_carbon_metabolism,Type VI,Central carbon metabolism support gene tested functionally in glandular trichomes; useful productive-type-VI-state marker rather than strict identity marker,Solyc04g076880,Type_VI_like_metabolic,medium,updated_all_marker_table,,central_carbon_metabolism,Medium,Central carbon metabolism support gene tested functionally in glandular trichomes; useful productive-type-VI-state marker rather than strict identity marker,Brand-Duran 2024,confirmed,new_updated_all_table,Central carbon metabolism support gene tested functionally in glandular trichomes; useful productive-type-VI-state marker rather than strict identity marker,PEPCK,,,
PHS1 / TPS20,Solyc08g005640,Solyc08g005640,Terpene synthase,Type VI-like terpene-gland signature gene,Added from literature-backed type VI-like signature; alias usage in literature can vary,,Type_VI_like_core,medium,curated_base + marker_signature_table,SlTPS21,terpene_synthase,Medium,Plastidic terpene synthase; reduced in glandless isolated stem trichomes,Zocca et al. 2025,confirmed,overlap_merged,"signature: Type VI || marker_category: terpene_synthase || priority: Medium || evidence: Plastidic terpene synthase; reduced in glandless isolated stem trichomes || reference: Zocca et al. 2025 || id_status: confirmed || Shared Solyc ID with other table rows: PHS1 / TPS20, SlTPS21. Treat aliases/conflicts cautiously.",,,,
ShCYP71D184/ShZO version A,Sohab01g008670,,cytochrome_P450,Wild_S_habrochaites_type_VI_zingiberene_derivative_metabolism,Ambiguous/multiple ID row split into version A; original ID field: Sohab01g008670; tomato_ortholog_SlCYP71D184=Solyc01g008670 || ID-source chunk: Sohab01g008670 || Highly expressed in trichomes and co-segregates with 9HZ/9H10epoZ; Sh enzyme oxidizes 7-epi-zingiberene to toxic derivatives; tomato ortholog was inactive in assays.,Sohab01g008670; tomato_ortholog_SlCYP71D184=Solyc01g008670,Candidate_marker_uncategorized,high,updated_all_marker_table,,cytochrome_P450,High,Highly expressed in trichomes and co-segregates with 9HZ/9H10epoZ; Sh enzyme oxidizes 7-epi-zingiberene to toxic derivatives; tomato ortholog was inactive in assays.,Zabel et al. 2020,confirmed; external_non_tomato_or_non_solyc,new_updated_all_table,Ambiguous/multiple ID row split into version A; original ID field: Sohab01g008670; tomato_ortholog_SlCYP71D184=Solyc01g008670 || ID-source chunk: Sohab01g008670,ShCYP71D184/ShZO,ShCYP71D184/ShZO,A,
ShCYP71D184/ShZO version B,Solyc01g008670,Solyc01g008670,cytochrome_P450,Wild_S_habrochaites_type_VI_zingiberene_derivative_metabolism,Ambiguous/multiple ID row split into version B; original ID field: Sohab01g008670; tomato_ortholog_SlCYP71D184=Solyc01g008670 || ID-source chunk: tomato_ortholog_SlCYP71D184=Solyc01g008670 || Highly expressed in trichomes and co-segregates with 9HZ/9H10epoZ; Sh enzyme oxidizes 7-epi-zingiberene to toxic derivatives; tomato ortholog was inactive in assays.,Sohab01g008670; tomato_ortholog_SlCYP71D184=Solyc01g008670,Candidate_marker_uncategorized,high,updated_all_marker_table,,cytochrome_P450,High,Highly expressed in trichomes and co-segregates with 9HZ/9H10epoZ; Sh enzyme oxidizes 7-epi-zingiberene to toxic derivatives; tomato ortholog was inactive in assays.,Zabel et al. 2020,confirmed,new_updated_all_table,Ambiguous/multiple ID row split into version B; original ID field: Sohab01g008670; tomato_ortholog_SlCYP71D184=Solyc01g008670 || ID-source chunk: tomato_ortholog_SlCYP71D184=Solyc01g008670,ShCYP71D184/ShZO,ShCYP71D184/ShZO,B,
SlARF3,Solyc02g077560,Solyc02g077560,Auxin response factor,Atlas epidermal/trichome GRN and leaf polarity/development context marker,Listed as characterized trichome development gene; useful auxin/developmental context marker || Already in candidate table; strengthened as epidermis trajectory context marker.,Solyc02g077560,Atlas_epidermis_trichome_context,medium,literature_expansion,SlARF3,atlas_developmental_GRN_panel,Medium,Listed as characterized trichome development gene; useful auxin/developmental context marker || Already in candidate table; strengthened as epidermis trajectory context marker.,Galdon-Armero 2018 || Tian 2020 tomato shoot apex snRNA-seq atlas,confirmed_from_literature,literature_expanded,Listed as characterized trichome development gene; useful auxin/developmental context marker,,,,atlas_epidermis_context_panel
SlARF4,Solyc11g069190,Solyc11g069190,auxin_response_factor,Auxin_induced_type_II/V/VI_trichome_formation,Directly represses SlASR3; SlARF4-dependent IAA-induced trichome formation depends on SlASR3; useful auxin-side marker for type II/VI regulation.,Solyc11g069190,Candidate_marker_uncategorized,medium_high,updated_all_marker_table,,auxin_response_factor,Medium_high,Directly represses SlASR3; SlARF4-dependent IAA-induced trichome formation depends on SlASR3; useful auxin-side marker for type II/VI regulation.,Zheng et al. 2025; Zhao et al. 2025 review,confirmed,new_updated_all_table,Directly represses SlASR3; SlARF4-dependent IAA-induced trichome formation depends on SlASR3; useful auxin-side marker for type II/VI regulation.,SlARF4,,,
SlASAT1,Solyc12g006330,Solyc12g006330,acylsugar_biosynthesis,Type I/IV_acylsugar_support,Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4,Solyc12g006330,Type_IV_like_metabolic,medium,updated_all_marker_table,,acylsugar_biosynthesis,Medium,Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4,Previous literature table; ASAT family annotation,confirmed_from_previous_table,new_updated_all_table,"Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4 || Shared Solyc ID with other table rows: ASAT1, SlASAT1. Treat aliases/conflicts cautiously.",SlASAT1,,,
