gene_name,display_name,solyc_id,module,module_label,module_order,gene_order,gene_role,functional_role,function_summary,reference_label,notes
Hairless,Hairless,Solyc11g013290,trichome_morphogenesis,Trichome morphogenesis,2,6,Actin/WAVE-complex-related protein,Trichome morphology marker,Hairless locus version B; structural/morphogenesis marker for tomato trichome development.,Galdon-Armero 2018,
SlHDZ38/Glandless,Glandless,Solyc09g008810,glandular_regulation,Glandular regulation,3,1,HD-Zip IV transcription factor,Glandular trichome development regulator,Glandless mutation/VIGS affects type VI gland cells and glandular trichome development.,Zocca et al. 2025; Chang et al. 2024,"Developmental regulator, not a metabolic enzyme."
SlGCR1,GCR1,Solyc02g076670,glandular_regulation,Glandular regulation,3,2,MYB-like transcription factor,Gland-cell regulatory switch,Gland cell repressor/regulatory component in glandular trichome development.,Chang et al. 2024; Zocca et al. 2025; Mandal et al. 2025,Use this SlGCR1 locus; do not confuse with weaker duplicate GCR1-like row.
GCR2 version A,GCR2,Solyc03g006150,glandular_regulation,Glandular regulation,3,3,MYB-like transcription factor,Gland-cell regulatory switch,Redundant/related gland-cell regulatory component with GCR1.,Chang et al. 2024; Mandal et al. 2025,
SlTOE1B,TOE1B,Solyc04g049800,glandular_regulation,Glandular regulation,3,4,AP2/ERF transcription factor,Glandular developmental regulator,TOE/AP2-like regulator connected to GCR-mediated glandular regulation.,Chang et al. 2024; Mandal et al. 2025,Correct TOE1B locus for gland-formation mechanism.
SlLFS/LEAFLESS version A,LFS,Solyc05g013540,glandular_regulation,Glandular regulation,3,5,AP2/ERF transcription factor,Glandular / acylsugar regulatory context,LEAFLESS regulator linked to glandular trichome development and acylsugar-related programs.,Tian et al. 2020; Chang et al. 2024; Mandal et al. 2025; Wu et al. 2023,Regulatory bridge; not scored in the acylsugar enzyme module.
AACS1,AACS1,Solyc07g043630,typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,4,1,Acyl-activating enzyme,Acylsugar pathway support enzyme,Acyl-CoA synthetase/acyl-activating enzyme associated with acylsugar metabolism.,Mandal et al. 2025; acylsugar literature,
AECH1,AECH1,Solyc07g043680,typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,4,2,Enoyl-CoA hydratase,Medium-chain acylsugar pathway enzyme,Medium-chain acylsugar pathway enzyme used as acylsugar-associated metabolic support.,Mandal et al. 2025; acylsugar literature,
ABC Transporter,ABC Transporter,Solyc03g005860,typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,4,3,ABC transporter,Specialized-metabolite transport,Transporter associated with specialized metabolite/acylsugar-related output.,Mandal et al. 2025; acylsugar literature,
ASAT2,ASAT2,Solyc04g012020,typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,4,4,Acylsugar acyltransferase,Acylsugar biosynthesis enzyme,Acylsugar acyltransferase involved in acylsugar biosynthesis.,Kortbeek et al. 2016; Mandal et al. 2025; ASAT literature,
ASH3,ASH3,Solyc09g075710,typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,4,5,Acylsugar hydrolase,Acylsugar remodeling enzyme,Acylsugar hydrolase associated with modification/remodeling of trichome defense compounds.,Acylsugar literature,
MCPI,MCPI,Solyc01g067295,typeVI_terpene_metabolism,Type VI terpene metabolism,5,1,Metallocarboxypeptidase inhibitor / promoter marker,Type VI gland-head marker,Promoter activity is enriched in type VI glandular head cells; useful gland-head marker rather than terpene enzyme.,Ying et al. 2022; Brand-Duran 2024,Marker of gland-head expression; not itself a terpene synthase.
SlEOT1,EOT1,Solyc02g062400,typeVI_terpene_metabolism,Type VI terpene metabolism,5,2,Terpene-associated regulatory TF / promoter marker,Type VI terpene regulatory marker,Reporter/promoter marker and regulator associated with terpene biosynthesis.,Kortbeek et al. 2016; Zocca et al. 2025,"Metabolism-associated TF, not developmental fate TF."
SlEOT2,EOT2,Solyc03g033680,typeVI_terpene_metabolism,Type VI terpene metabolism,5,3,Terpene-associated regulatory TF,Type VI terpene regulatory marker,Trichome-enriched regulator of terpene biosynthetic pathway genes; reduced in glandless material.,Zocca et al. 2025,
SlTPS9 version B,TPS9,Solyc06g059885,typeVI_terpene_metabolism,Type VI terpene metabolism,5,4,Sesquiterpene synthase / promoter marker,Type VI terpene enzyme,Type VI glandular trichome TPS marker; Solyc06g059885 version retained from Brand-Duran evidence.,Zocca et al. 2025; Xu et al. 2018; Brand-Duran 2024,Published ID conflict exists; using version B/Solyc06g059885 for this workflow.
RBCS-1,RBCS-1,Solyc02g063150,reference_control,Reference control,6,1,Rubisco small subunit,Photosynthesis reference marker,General photosynthetic/mesophyll-associated reference marker.,Tian et al. 2020; ITAG4 annotation,
CAB13,CAB13,Solyc12g011450,reference_control,Reference control,6,2,Chlorophyll a/b binding protein,Light-harvesting reference marker,CAB/LHCB-like photosynthetic light-harvesting reference marker.,Tian et al. 2020; ITAG4 annotation,
PSBO,PSBO,Solyc02g065400,reference_control,Reference control,6,3,Photosystem II oxygen-evolving complex protein,Photosystem II reference marker,Photosystem II reference marker used as non-glandular photosynthetic context control.,ITAG4 annotation,
PSBS,PSBS,Solyc06g060340,reference_control,Reference control,6,4,Photosystem II subunit S,Photosystem II / photoprotection reference marker,Photosystem II photoprotection-related reference marker.,ITAG4 annotation,
PSBR,PSBR,Solyc07g066310,reference_control,Reference control,6,5,Photosystem II subunit R,Photosystem II reference marker,Photosystem II reference marker used as photosynthetic context control.,ITAG4 annotation,
WEE1,WEE1,Solyc09g074830,reference_control,Reference control,6,6,Protein kinase WEE1,Cell-cycle checkpoint marker,Cell-cycle checkpoint/proliferation context marker.,ITAG4 annotation,
Histone H4,Histone H4,Solyc04g011390,reference_control,Reference control,6,7,Histone H4,Chromatin replication / cell-cycle marker,Histone marker of chromatin replication/mitotic activity.,ITAG4 annotation; Tian et al. 2020,
